,InverterTemp,WindSpeed,CoolantTemp,CoolantPressure,RadialVibX,RadialVibY,ActivePower,ReactivePower
2022-12-20 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 09:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 15:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 16:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 09:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 15:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 16:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
